Date,equity
2015-08-06,10274.951426049725
2015-08-07,10238.994548542261
2015-08-10,10422.668345704513
2015-08-11,10247.615106065125
2015-08-12,10307.64571402769
2015-08-13,10265.995788427475
2015-08-14,10335.458001640412
2015-08-17,10458.5682740167
2015-08-18,10411.090709150441
2015-08-19,10339.179805384185
2015-08-20,10055.7375461574
2015-08-21,9655.83002029248
2015-08-24,9167.731003413015
2015-08-25,9013.730757457977
2015-08-26,9364.757455548293
2015-08-27,9360.695051623366
2015-08-28,9355.695800140213
2015-08-31,9337.65748383912
2015-09-01,9373.49646547754
2015-09-02,9352.937034265316
2015-09-03,9372.000067119989
2015-09-04,9396.50727901254
2015-09-08,9361.094773499179
2015-09-09,9363.381138201454
2015-09-10,9346.618290456801
2015-09-11,9368.466835869775
2015-09-14,9375.221667394038
2015-09-15,9308.71364565081
2015-09-16,9306.134603688763
2015-09-17,9378.962924517797
2015-09-18,9417.934659247305
2015-09-21,9370.379051259704
2015-09-22,9411.861300756846
2015-09-23,9401.793676742007
2015-09-24,9415.573194839291
2015-09-25,9393.10463903989
2015-09-28,9441.966808598834
2015-09-29,9471.746367114956
2015-09-30,9473.561435511514
2015-10-01,9480.717428071874
2015-10-02,9528.107803322077
2015-10-05,9475.430653674533
2015-10-06,9494.354357057597
2015-10-07,9470.184833983743
2015-10-08,9444.683227611866
2015-10-09,9450.069805152687
2015-10-12,9482.176461401446
2015-10-13,9492.081411296722
2015-10-14,9548.959361217141
2015-10-15,9513.976942560606
2015-10-16,9504.69684188682
2015-10-19,9500.996557043849
2015-10-20,9466.006866556745
2015-10-21,9500.503908162891
2015-10-22,9511.407185502863
2015-10-23,9453.572082119856
2015-10-26,9479.640267912064
2015-10-27,9505.79638543619
2015-10-28,9633.064285562337
2015-10-29,9629.320350564698
2015-10-30,9594.715642143738
2015-11-02,9697.595577957705
2015-11-03,9748.692403283514
2015-11-04,9722.439110054793
2015-11-05,9716.351976386188
2015-11-06,9731.819582747768
2015-11-09,9586.020199291299
2015-11-10,9595.340716953324
2015-11-11,9560.279380787715
2015-11-12,9442.048943249254
2015-11-13,9184.837543862614
2015-11-16,9341.81448306212
2015-11-17,9352.29360144525
2015-11-18,9548.673088029358
2015-11-19,9572.765892745512
2015-11-20,9704.537017358929
2015-11-23,9683.077874234617
2015-11-24,9665.687161251091
2015-11-25,9715.057671749491
2015-11-27,9729.126136932282
2015-11-30,9648.341724378146
2015-12-01,9832.352242688397
2015-12-02,9632.165373677626
2015-12-03,9375.690879448433
2015-12-04,9697.761172292685
2015-12-07,9594.829940923644
2015-12-08,9482.95065306666
2015-12-09,9284.482785800912
2015-12-10,9335.538134871804
2015-12-11,9012.771213694896
2015-12-14,9084.47202139008
2015-12-15,9172.542215053818
2015-12-16,9397.85854386841
2015-12-17,9176.688888493061
2015-12-18,8936.152880749434
2015-12-21,9051.967125323024
2015-12-22,9138.643526988422
2015-12-23,9228.981510391734
2015-12-24,9218.517363177703
2015-12-28,9209.131226630789
2015-12-29,9341.52790066339
2015-12-30,9245.694194129299
2015-12-31,9131.106997811303
2016-01-04,8946.79704308077
2016-01-05,8959.396209489521
2016-01-06,8815.24713255964
2016-01-07,8558.809988749108
2016-01-08,8443.464390633508
2016-01-11,8478.4943859437
2016-01-12,8565.788691181446
2016-01-13,8603.51590889433
2016-01-14,8569.629727832229
2016-01-15,8635.081677563781
2016-01-19,8647.788918214734
2016-01-20,8675.677975929948
2016-01-21,8636.58978864911
2016-01-22,8656.185107786125
2016-01-25,8651.090867011493
2016-01-26,8642.507965750408
2016-01-27,8640.870594102314
2016-01-28,8618.006457619842
2016-01-29,8703.494542437198
2016-02-01,8654.004028954954
2016-02-02,8678.362080344177
2016-02-03,8570.112172899408
2016-02-04,8539.355274178226
2016-02-05,8570.617790872806
2016-02-08,8586.68236562936
2016-02-09,8544.383019761539
2016-02-10,8544.405492190413
2016-02-11,8546.29022314791
2016-02-12,8541.83062458873
2016-02-16,8582.910758670907
2016-02-17,8570.01125877682
2016-02-18,8592.890568287616
2016-02-19,8574.677578266723
2016-02-22,8620.774484323952
2016-02-23,8632.461262892639
2016-02-24,8637.88502211374
2016-02-25,8646.20492500319
2016-02-26,8669.33512760169
2016-02-29,8587.15186332307
2016-03-01,8852.84928755708
2016-03-02,8872.639809850987
2016-03-03,8919.914889882995
2016-03-04,8945.475402985512
2016-03-07,9252.376707448087
2016-03-08,8885.76392690102
2016-03-09,8906.682848437586
2016-03-10,9116.440239185824
2016-03-11,9061.3833729638
2016-03-14,9020.961236513833
2016-03-15,8905.161863238607
2016-03-16,9214.59743415295
2016-03-17,9336.752031467517
2016-03-18,9381.683745817398
2016-03-21,9347.815706312356
2016-03-22,9359.867797802091
2016-03-23,9009.297499637136
2016-03-24,9097.188736548615
2016-03-28,9111.180472473696
2016-03-29,9289.239392026353
2016-03-30,9257.892502892786
2016-03-31,9178.705171322681
2016-04-01,9216.365886624353
2016-04-04,9060.675269358391
2016-04-05,9091.142181114958
2016-04-06,9124.37353229796
2016-04-07,9041.30372053405
2016-04-08,9208.03005638569
2016-04-11,9423.086637045517
2016-04-12,9545.553881949792
2016-04-13,9644.325496349702
2016-04-14,9604.895306947843
2016-04-15,9681.087272815761
2016-04-18,9762.143124044778
2016-04-19,10027.609274495322
2016-04-20,9943.905468314104
2016-04-21,9918.59177215224
2016-04-22,9875.328712224957
2016-04-25,9754.2728384373
2016-04-26,9865.735486009295
2016-04-27,10039.526979442504
2016-04-28,10128.716493631302
2016-04-29,10219.720627843932
2016-05-02,10227.18827857704
2016-05-03,9970.076496115715
2016-05-04,9842.374589736048
2016-05-05,9778.36866903459
2016-05-06,9848.146428702457
2016-05-09,9504.78318493268
2016-05-10,9658.290171615905
2016-05-11,9702.632712011991
2016-05-12,9611.748604094568
2016-05-13,9600.96032833398
2016-05-16,9666.755173744768
2016-05-17,9691.749242469119
2016-05-18,9437.536954549372
2016-05-19,9476.385563703212
2016-05-20,9494.216687294196
2016-05-23,9565.562703822383
2016-05-24,9501.482206165816
2016-05-25,9658.41309984235
2016-05-26,9655.524468467864
2016-05-27,9572.59923141439
2016-05-31,9704.20381513347
2016-06-01,9705.208367889109
2016-06-02,9729.401060059969
2016-06-03,9938.784367134562
2016-06-06,10059.765198174333
2016-06-07,10061.599064956705
2016-06-08,10261.547935815113
2016-06-09,10144.222626278106
2016-06-10,10035.024521813775
2016-06-13,10024.121047400971
2016-06-14,9895.136643512731
2016-06-15,10057.819889943465
2016-06-16,9989.544133977943
2016-06-17,10085.048427599977
2016-06-20,10209.07438733469
2016-06-21,10135.849871307188
2016-06-22,10095.19308111417
2016-06-23,10223.488615482096
2016-06-24,9927.749244899534
2016-06-27,9753.302867001199
2016-06-28,9883.488949605979
2016-06-29,10016.00701073055
2016-06-30,10171.0469368101
2016-07-01,10286.642205904882
2016-07-05,10186.062228544346
2016-07-06,10285.404687240103
2016-07-07,10228.091821114214
2016-07-08,10392.542467662754
2016-07-11,10446.692396094617
2016-07-12,10546.183184143083
2016-07-13,10564.539259033792
2016-07-14,10598.906327483244
2016-07-15,10609.022276116773
2016-07-18,10608.629240819675
2016-07-19,10486.559783454415
2016-07-20,10395.174630427526
2016-07-21,10426.768936501034
2016-07-22,10438.510862012274
2016-07-25,10340.293412853427
2016-07-26,10522.831399890809
2016-07-27,10577.50270947935
2016-07-28,10606.510993224327
2016-07-29,10667.331077569503
2016-08-01,10590.749519466268
2016-08-02,10576.584829094627
2016-08-03,10639.380828778794
2016-08-04,10636.949532609035
2016-08-05,10638.200769776638
2016-08-08,10663.508399132998
2016-08-09,10597.531872328114
2016-08-10,10547.447845429171
2016-08-11,10565.579767299345
2016-08-12,10485.266582396429
2016-08-15,10622.47386181942
2016-08-16,10601.550574568575
2016-08-17,10580.388487214652
2016-08-18,10677.900617635216
2016-08-19,10535.331515544523
2016-08-22,10526.476247340064
2016-08-23,10537.301154080058
2016-08-24,10311.67691527436
2016-08-25,10368.143639867687
2016-08-26,10337.699615520482
2016-08-29,10424.849320516205
2016-08-30,10274.947568290485
2016-08-31,10216.547143468317
2016-09-01,10263.32078909227
2016-09-02,10317.922258815282
2016-09-06,10305.238190805007
2016-09-07,10320.268099233252
2016-09-08,10303.506469515174
2016-09-09,10083.749759037473
2016-09-12,10178.152292577766
2016-09-13,10036.942321926383
2016-09-14,10026.830833223677
2016-09-15,10093.985365553963
2016-09-16,10067.90040376707
2016-09-19,10076.7706610413
2016-09-20,10070.1447794546
2016-09-21,10161.059614134036
2016-09-22,10232.038736932398
2016-09-23,10167.180831251711
2016-09-26,10080.080279196662
2016-09-27,10158.12930695218
2016-09-28,10232.451202374215
2016-09-29,10114.093128955452
2016-09-30,10218.58140408535
2016-10-03,10195.55066980913
2016-10-04,10135.772397325376
2016-10-05,10221.240114874014
2016-10-06,10223.833186671354
2016-10-07,10183.705613860491
2016-10-10,10271.065145287774
2016-10-11,10120.954148098916
2016-10-12,10118.08984153332
2016-10-13,10041.001093085948
2016-10-14,10052.902501573551
2016-10-17,10024.503126651749
2016-10-18,10102.603303470316
2016-10-19,10144.109435470082
2016-10-20,10118.422012247189
2016-10-21,10133.025980260614
2016-10-24,10227.14276721343
2016-10-25,10177.336922891236
2016-10-26,10122.356223912137
2016-10-27,10071.208869847636
2016-10-28,10026.824673697578
2016-10-31,10024.339859610944
2016-11-01,9925.455575523629
2016-11-02,9829.158463979207
2016-11-03,9746.330195471532
2016-11-04,9777.362880185301
2016-11-07,9727.052115190467
2016-11-08,9684.350024183666
2016-11-09,9504.605097093045
