Date,Strategy
2019-05-28,17745.981164396977
2019-05-29,17583.518499804857
2019-05-30,17594.327788537405
2019-05-31,17565.86177359949
2019-06-03,17637.88379056211
2019-06-04,17812.398311898593
2019-06-05,18092.051898625054
2019-06-06,18216.68868724057
2019-06-07,18217.992787608615
2019-06-10,18185.734997625757
2019-06-11,18190.18434313381
2019-06-12,18211.561276574655
2019-06-13,18260.452975292264
2019-06-14,18271.199775633366
2019-06-17,18297.667236032128
2019-06-18,18433.778616925643
2019-06-19,18507.223183659808
2019-06-20,18589.64858836758
2019-06-21,18529.038276077234
2019-06-24,18521.342349553666
2019-06-25,18475.41319732802
2019-06-26,18353.67082853297
2019-06-27,18479.563523619327
2019-06-28,18530.474732049348
2019-07-01,18597.54476742385
2019-07-02,18690.576216016267
2019-07-03,18840.50128045938
2019-07-05,18711.278520782464
2019-07-08,18664.474061272937
2019-07-09,18673.410533186317
2019-07-10,18667.948911490737
2019-07-11,18598.239460844987
2019-07-12,18582.12965215784
2019-07-15,18636.44200077929
2019-07-16,18574.752960439586
2019-07-17,18600.867707571233
2019-07-18,18650.54779218264
2019-07-19,18536.02507793791
2019-07-22,18540.192537094208
2019-07-23,18586.554792083138
2019-07-24,18651.06213804044
2019-07-25,18557.40807769391
2019-07-26,18631.160913587042
2019-07-29,18633.994473643652
2019-07-30,18595.773172438014
2019-07-31,18530.748378300155
2019-08-01,18589.281177553894
2019-08-02,18605.66954369754
2019-08-05,18409.959362078735
2019-08-06,18652.122753771648
2019-08-07,18871.37579860154
2019-08-08,19052.683658268706
2019-08-09,18956.557584223356
2019-08-12,18867.766740097544
2019-08-13,18995.59010848085
2019-08-14,18955.32122438146
2019-08-15,19117.73394883563
2019-08-16,19129.33687428556
2019-08-19,19051.673913108178
2019-08-20,18997.121487219207
2019-08-21,19120.34077826267
2019-08-22,19123.713783479358
2019-08-23,18937.21827898305
2019-08-26,19034.812201453162
2019-08-27,19156.153006424414
2019-08-28,19149.959343886352
2019-08-29,19129.938145428976
2019-08-30,19097.298731914176
2019-09-03,19228.206107875747
2019-09-04,19332.94707648531
2019-09-05,19092.20769094692
2019-09-06,19167.21550847832
2019-09-09,19018.42904104259
2019-09-10,18911.79015545896
2019-09-11,18986.84504319365
2019-09-12,18966.151626440216
2019-09-13,18822.053736547132
2019-09-16,18844.545957615188
2019-09-17,18914.683632833385
2019-09-18,18947.177465250763
2019-09-19,18983.43069681797
2019-09-20,19061.765861820964
2019-09-23,19039.185944168592
2019-09-24,19008.884420007336
2019-09-25,18921.967190663396
2019-09-26,18909.02465981624
2019-09-27,18887.53614663773
2019-09-30,18990.547986413607
2019-10-01,18877.979192777533
2019-10-02,18694.731241131863
2019-10-03,18841.92371283831
2019-10-04,18948.288583416102
2019-10-07,18804.678811873997
2019-10-08,18621.819128199568
2019-10-09,18679.71063728733
2019-10-10,18589.582652126937
2019-10-11,18621.839854900714
2019-10-14,18665.57216003513
2019-10-15,18758.555585134593
2019-10-16,18766.05773245841
2019-10-17,18810.87677669081
2019-10-18,18781.93109049473
2019-10-21,18761.22948889875
2019-10-22,18790.462395993225
2019-10-23,18832.884319244702
2019-10-24,18784.914956898025
2019-10-25,18764.111793013257
2019-10-28,18790.975593969786
2019-10-29,18876.034045480214
2019-10-30,19034.064268768983
2019-10-31,19091.21914400249
2019-11-01,19128.837621224073
2019-11-04,19032.96700834479
2019-11-05,18919.212871727686
2019-11-06,18995.80103019186
2019-11-07,18880.92715836841
2019-11-08,18903.066471771355
2019-11-11,18868.198651361585
2019-11-12,18941.18461024623
2019-11-13,18975.600566795096
2019-11-14,19063.66246502576
2019-11-15,19214.065806123865
2019-11-18,19218.860908779985
2019-11-19,19290.020939007623
2019-11-20,19335.92925869984
2019-11-21,19288.30243020663
2019-11-22,19356.199559389468
2019-11-25,19499.488668375736
2019-11-26,19558.027629775213
2019-11-27,19609.794440521102
2019-11-29,19544.886559690047
2019-12-02,19378.87072746927
2019-12-03,19449.440147392303
2019-12-04,19482.449888312218
2019-12-05,19453.879251786846
2019-12-06,19514.03872691806
2019-12-09,19479.135253684533
2019-12-10,19489.037889117135
2019-12-11,19557.04662099151
2019-12-12,19570.87721938302
2019-12-13,19645.884098200942
2019-12-16,19682.70888764066
2019-12-17,19685.97147520567
2019-12-18,19633.53948034809
2019-12-19,19684.913058499103
2019-12-20,19755.30867377336
2019-12-23,19761.49741477593
2019-12-24,19783.849106278027
2019-12-26,19847.55896291235
2019-12-27,19853.983348988295
2019-12-30,19756.405318637415
2019-12-31,19712.645730196415
2020-01-02,19868.622867802515
2020-01-03,19867.4326308113
2020-01-06,19880.623127943272
2020-01-07,19813.07044472469
2020-01-08,19836.250804590873
2020-01-09,19924.37568622419
2020-01-10,19957.491643972942
2020-01-13,19938.739236100544
2020-01-14,20013.734287044746
2020-01-15,20109.502695103954
2020-01-16,20174.365360322525
2020-01-17,20131.972048001295
2020-01-21,20190.155799245098
2020-01-22,20227.931173462985
2020-01-23,20245.648492087144
2020-01-24,20111.298080654986
2020-01-27,20083.3893103541
2020-01-28,20120.08579600787
2020-01-29,20165.983026552167
2020-01-30,20136.23349292991
2020-01-31,20019.091208004185
2020-02-03,20116.080594149356
2020-02-04,20231.26737100226
2020-02-05,20349.65590576863
2020-02-06,20381.164852765854
2020-02-07,20391.327882520203
2020-02-10,20498.34106304406
2020-02-11,20538.019041300042
2020-02-12,20549.712871392734
2020-02-13,20538.18893134918
2020-02-14,20574.692796519128
2020-02-18,20581.69809919542
2020-02-19,20644.12464820713
2020-02-20,20650.888019155045
2020-02-21,20650.119546684884
2020-02-24,20332.74476630418
2020-02-25,19982.40805190753
